ObjName,type,RA,DEC,B,V,G,CountsR,CountsG,CountsB,X,Y
HD 67150        ,Star, 8.12391     , 19.81766 , 8.27  , 7.69  , 7.5382  , 271150 , 348264 , 236429 , 3884 , 2146
HD 67424        ,Star, 8.14424     , 19.77072 , 8.53  , 8.48  , 8.4742  , 93949  , 154985 , 139900 , 3825 , 2801
TYC 1385-985-1  ,Star, 8.14128     , 20.12704 , 10.57 , 10.13 , 10.0350 , 30721  , 41212  , 29098  , 3069 , 2508
HD 67564        ,Star, 8.15532     , 20.11876 , 9.38  , 9.09  , 9.0181  , 71428  , 99635  , 76508  , 2975 , 2946
BD+20 2007      ,Star, 8.14449     , 20.28416 , 10.52 , 9.82  , 9.7906  , 37012  , 47327  , 31202  , 2700 , 2519
BD+20 2009      ,Star, 8.14832     , 20.27791 , 10.82 , 10.52 , 10.4423 , 19677  , 28174  , 21551  , 2683 , 2640
BD+20 2005      ,Star, 8.13657     , 20.56272 , 10.35 , 9.04  , 8.6293  , 108293 , 105234 , 47290  , 2152 , 2118
TYC 1384-185-1  ,Star, 8.09468     , 20.42690 , 10.93 , 10.06 , 9.8998  , 33690  , 37133  , 21446  , 2780 , 906
TYC 1384-1748-1 ,Star, 8.10977     , 19.80182 , 11.72 , 11.26 , 11.1274 , 9836   , 12076  , 8110   , 4030 , 1719
Moon Center,Moon,8.116,20.178,-1,-1,-1,-1,-1,-1,3157.5,1700.5
L1-21J          ,Moon, -1     , -1 , -1     , -1     , -1      , 138565 , 94635  , 30931  , 3465 , 2210
Byrgius A,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3418,2213
Grimaldi,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3211,2280
Aristachus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2897,2112
Plato,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2659,1743
Tycho,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3596,1780
Copernicus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3047,1891
Manilius,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3000,1577
Dionysus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3130,1487
Chladni,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3114,1663
Kepler,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3063,2069
Bullialdus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3382,1907
