ObjName,type,RA,DEC,B,V,G,CountsR,CountsG,CountsB,X,Y
HD 67346        ,Star, 8.13574     , 19.21594 , 8.23  , 7.63  , 7.4785  , 5081   , 6300   , 6616   , 1341 , 2032
HD 67424        ,Star, 8.14424     , 19.77072 , 8.53  , 8.48  , 8.4742  , 3480   , 4637   , 6015   , 2871 , 992
TYC 1385-985-1  ,Star, 8.14128     , 20.12704 , 10.57 , 10.13 , 10.0350 , 1215   , 1325   , 1218   , 3997 , 685
BD+20 2007      ,Star, 8.14449     , 20.28416 , 10.52 , 9.82  , 9.7906  , 1366   , 1473   , 1508   , 4416 , 358
BD+20 2002      ,Star, 8.11703     , 20.30866 , 10.83 , 10.37 , 10.2011 , 951    , 1034   , 1041   , 4964 , 1493
HD 66551        ,Star, 8.08129     , 20.23307 , 9.07  , 8.93  , 8.9140  , 2060   , 2469   , 3168   , 5358 , 3101
BD+20 1997      ,Star, 8.08191     , 20.09054 , 10.21 , 9.36  , 9.0853  , 1650   , 1688   , 1666   , 4917 , 3250
TYC 1384-594-1  ,Star, 8.08099     , 19.88256 , 10.66 , 9.87  , 9.6143  , 1113   , 1399   , 1142   , 4308 , 3544
TYC 1384-1330-1 ,Star, 8.09963     , 19.38749 , 11    , 10.05 , 9.7610  , 1102   , 869    , 846    , 2488 , 3362
Moon Center,Moon,8.1201,19.7255,-1,-1,-1,-1,-1,-1,3151.5,2075.5
L1-21J          ,Moon, -1     , -1 , -1     , -1     , -1       , 6324   , 5347   , 3548   , 2360 , 1746
Byrgius A,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2417,1701
Grimaldi,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2591,1451
Aristachus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3096,1377
Plato,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3691,1612
Tycho,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2578,2357
Copernicus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3109,1761
Manilius,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3431,2083
Dionysus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3361,2296
Chladni,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3229,2081
Kepler,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2940,1570
Bullialdus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2713,2023
