ObjName,type,RA,DEC,B,V,G,CountsR,CountsG,CountsB,X,Y
TYC 1385-116-1  ,Star,8.174005,20.60905182,11.56,10.81,10.5824,42396,48328,43515,1416,1255
HD 68121        ,Star,8.197362,19.96890157,10.03,9.64,9.5567,11381,158217,167910,3346,2285
TYC 1385-1052-1 ,Star,8.179138,19.83440065,11.55,10.26,10.0134,71357,78914,60751,3769,1512
TYC 1385-368-1  ,Star,8.161401,20.02099812,12.3,11.71,10.9407,30182,34984,31206,3213,742
TYC 1385-188-1  ,Star,8.195964,20.5048195,10.91,10.87,10.5111,45118,68999,84704,1717,2198
TYC 1385-1391-1 ,Star,8.196905,19.78950039,12.8,11.54,11.0578,26349,28871,24964,3893,2276
TYC 1385-1610-1 ,Star,8.19571,19.64251905,11.66,11.22,11.2203,21978,30030,33100,4340,2233
TYC 1385-1675-1 ,Star,8.203776,19.69781832,11.78,10.6,9.8901,66890,69991,55405,4166,2577
TYC 1385-376-1  ,Star,8.206883,19.68791596,12.17,11.28,11.3916,18135,24503,26564,4194,2710
Moon Center,Moon,8.1834,20.2106,-1,-1,-1,-1,-1,-1,2621.5,1673.5
L1-21J          ,Moon,-1,-1,-1,-1,-1,42672,29831,19853,3192,2255
Byrgius A,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3129,2274
Grimaldi,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2878,2425
Aristachus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2412,2312
Plato,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1979,1900
Tycho,Moon,-1,-1,-1,-1,-1,-1,-1,-1,3222,1649
Copernicus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2537,1977
Manilius,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2375,1578
Dionysus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2516,1417
Chladni,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2552,1655
Kepler,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2617,2202
Bullialdus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2983,1888
