LunarSite,slat,slon
Moon Center     , -1                      , -1
L1-21J     , -1                      , -1
Byrgius A       , -24.54                  , -63.83
Grimaldi        , -5.53                   , -68.26
Aristachus      , 23.69                   , -47.49
Plato           , 51.64                   , -9.30
Tycho           , -43.40                  , -11.26
Copernicus      , 9.64                    , -20.06
Manilius        , 14.44                   , 9.06
Dionysus        , 2.77                    , 17.29
Chladni         , 3.47                    , -0.23
Kepler          , 8.15                    , -37.99
Bullialdus      , -20.75                   , -22.30
