ObjName,type,RA,DEC,B,V,G,CountsR,CountsG,CountsB,X,Y
BD+21 1766      ,Star,8.141488,20.5996718,10.69,9.03,8.3523,14161,6726,10608,4138,1119
BD+20 2007      ,Star,8.144487,20.28416236,10.52,9.82,9.7906,6129,8166,5846,4020,2589
HD 67564        ,Star,8.155318,20.1187635,9.38,9.09,9.0181,8175,13559,8294,3356,3389
TYC 1385-899-1  ,Star,8.194665,20.30565124,11.34,10.22,10.0132,4051,4038,4235,752,2652
BD+21 1779      ,Star,8.181601,20.77902865,10.2,9.22,8.9471,9724,9539,9033,1494,423
BD+21 1777      ,Star,8.179638,20.83795155,11.11,10.18,9.6792,7304,4911,5530,1609,145
BD+20 2009      ,Star,8.148322,20.27790881,10.82,10.52,10.4423,3494,6623,4223,3772,2630
BD+20 2005      ,Star,8.136573,20.56272411,10.35,9.04,8.6293,11959,7866,9402,4467,1274
TYC 1385-939-1  ,Star,8.191051,20.27806777,12.78,10.66,10.3526,4282,1768,2955,994,2768
Moon Center,Moon,8.169,20.4736,-1,-1,-1,-1,-1,-1,2384,1794
L1-21J          ,Moon,-1,-1,-1,-1,-1,1621,1519,1619,1562,2712
Byrgius A,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1524,2618
Grimaldi,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1267,2255
Aristachus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1397,1535
Plato,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1978,849
Tycho,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2487,2697
Copernicus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1917,1690
Manilius,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2509,1404
Dionysus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2765,1601
Chladni,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2410,1679
Kepler,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1584,1832
Bullialdus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2096,2356
