ObjName,type,RA,DEC,B,V,G,CountsR,CountsG,CountsB,X,Y
HD 67346        ,Star, 8.13574     , 19.21594 , 8.23  , 7.63  , 7.4785  , 31494  , 42730  , 25476  , 1570 , 2847
HD 67424        ,Star, 8.14424     , 19.77072 , 8.53  , 8.48  , 8.4742  , 12565  , 19687  , 16399  , 1628 , 1493
TYC 13859851  ,Star, 8.14128     , 20.12704 , 10.57 , 10.13 , 10.0350 , 2228   , 3462   , 2078   , 1939 , 695
BD+20 2007      ,Star, 8.14449     , 20.28416 , 10.52 , 9.82  , 9.7906  , 3222   , 4585   , 2610   , 1929 , 304
TYC 13841851  ,Star, 8.09468     , 20.42690 , 10.93 , 10.06 , 9.8998  , 3633   , 4292   , 2017   , 3635 , 389
BD+20 1997      ,Star, 8.08191     , 20.09054 , 10.21 , 9.36  , 9.0853  , 7832   , 8560   , 4440   , 3851 , 1274
TYC 13845941  ,Star, 8.08099     , 19.88256 , 10.66 , 9.87  , 9.6143  , 4928   , 5578   , 3010   , 3758 , 1762
TYC 138413301 ,Star, 8.09963     , 19.38749 , 11    , 10.05 , 9.7610  , 3260   , 4414   , 2270   , 2855 , 2752
HD 67564        ,Star, 8.15532     , 20.11876 , 9.38  , 9.09  , 9.0181  , 6683   , 10083  , 7036   , 1476 , 594
Moon Center,Moon,8.1182,19.7424,-1,-1,-1,-1,-1,-1,2459.5,1776.5
L1-21J          ,Moon,  -1  , -1 ,  -1    ,  -1    ,  -1      , 8457   , 4877   , 2342   , 1921 , 2097
Byrgius A,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1920,2049
Grimaldi,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1849,1832
Aristachus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2025,1505
Plato,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2414,1254
Tycho,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2373,2237
Copernicus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2253,1664
Manilius,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2587,1615
Dionysus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2679,1749
Chladni,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2496,1733
Kepler,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2072,1679
Bullialdus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2239,2013
