#1:i  2:j   3:lat       4:lon       5:rproj     6:vproj     
0     0     -88.20000   +0.00000    -9.991e-01  -2.724e-02  
0     1     -88.20000   +1.80000    -9.991e-01  -2.823e-02  
0     2     -88.20000   +3.60000    -9.990e-01  -2.921e-02  
0     3     -88.20000   +5.40000    -9.990e-01  -3.019e-02  
0     4     -88.20000   +7.20000    -9.990e-01  -3.117e-02  
0     5     -88.20000   +9.00000    -9.990e-01  -3.214e-02  
0     6     -88.20000   +10.80000   -9.989e-01  -3.311e-02  
0     7     -88.20000   +12.60000   -9.989e-01  -3.407e-02  
0     8     -88.20000   +14.40000   -9.989e-01  -3.502e-02  
0     9     -88.20000   +16.20000   -9.989e-01  -3.596e-02  
0     10    -88.20000   +18.00000   -9.988e-01  -3.690e-02  
0     11    -88.20000   +19.80000   -9.988e-01  -3.782e-02  
0     12    -88.20000   +21.60000   -9.988e-01  -3.874e-02  
0     13    -88.20000   +23.40000   -9.988e-01  -3.964e-02  
0     14    -88.20000   +25.20000   -9.987e-01  -4.053e-02  
0     15    -88.20000   +27.00000   -9.987e-01  -4.140e-02  
0     16    -88.20000   +28.80000   -9.987e-01  -4.226e-02  
0     17    -88.20000   +30.60000   -9.987e-01  -4.310e-02  
0     18    -88.20000   +32.40000   -9.986e-01  -4.393e-02  
0     19    -88.20000   +34.20000   -9.986e-01  -4.474e-02  
0     20    -88.20000   +36.00000   -9.986e-01  -4.553e-02  
0     21    -88.20000   +37.80000   -9.986e-01  -4.631e-02  
0     22    -88.20000   +39.60000   -9.986e-01  -4.706e-02  
0     23    -88.20000   +41.40000   -9.986e-01  -4.779e-02  
0     24    -88.20000   +43.20000   -9.985e-01  -4.851e-02  
0     25    -88.20000   +45.00000   -9.985e-01  -4.920e-02  
0     26    -88.20000   +46.80000   -9.985e-01  -4.986e-02  
0     27    -88.20000   +48.60000   -9.985e-01  -5.051e-02  
0     28    -88.20000   +50.40000   -9.985e-01  -5.113e-02  
0     29    -88.20000   +52.20000   -9.985e-01  -5.173e-02  
0     30    -88.20000   +54.00000   -9.984e-01  -5.230e-02  
0     31    -88.20000   +55.80000   -9.984e-01  -5.284e-02  
0     32    -88.20000   +57.60000   -9.984e-01  -5.336e-02  
0     33    -88.20000   +59.40000   -9.984e-01  -5.386e-02  
0     34    -88.20000   +61.20000   -9.984e-01  -5.432e-02  
0     35    -88.20000   +63.00000   -9.984e-01  -5.476e-02  
0     36    -88.20000   +64.80000   -9.984e-01  -5.517e-02  
0     37    -88.20000   +66.60000   -9.984e-01  -5.556e-02  
0     38    -88.20000   +68.40000   -9.984e-01  -5.591e-02  
0     39    -88.20000   +70.20000   -9.984e-01  -5.623e-02  
0     40    -88.20000   +72.00000   -9.983e-01  -5.653e-02  
0     41    -88.20000   +73.80000   -9.983e-01  -5.679e-02  
0     42    -88.20000   +75.60000   -9.983e-01  -5.703e-02  
0     43    -88.20000   +77.40000   -9.983e-01  -5.723e-02  
0     44    -88.20000   +79.20000   -9.983e-01  -5.741e-02  
0     45    -88.20000   +81.00000   -9.983e-01  -5.755e-02  
0     46    -88.20000   +82.80000   -9.983e-01  -5.767e-02  
0     47    -88.20000   +84.60000   -9.983e-01  -5.775e-02  
0     48    -88.20000   +86.40000   -9.983e-01  -5.780e-02  
0     49    -88.20000   +88.20000   -9.983e-01  -5.782e-02  
0     50    -88.20000   +90.00000   -9.983e-01  -5.781e-02  
0     51    -88.20000   +91.80000   -9.983e-01  -5.777e-02  
0     52    -88.20000   +93.60000   -9.983e-01  -5.770e-02  
0     53    -88.20000   +95.40000   -9.983e-01  -5.760e-02  
0     54    -88.20000   +97.20000   -9.983e-01  -5.746e-02  
0     55    -88.20000   +99.00000   -9.983e-01  -5.730e-02  
0     56    -88.20000   +100.80000  -9.984e-01  -5.710e-02  
0     57    -88.20000   +102.60000  -9.984e-01  -5.688e-02  
0     58    -88.20000   +104.40000  -9.984e-01  -5.662e-02  
0     59    -88.20000   +106.20000  -9.984e-01  -5.634e-02  
0     60    -88.20000   +108.00000  -9.984e-01  -5.602e-02  
0     61    -88.20000   +109.80000  -9.984e-01  -5.568e-02  
0     62    -88.20000   +111.60000  -9.984e-01  -5.531e-02  
0     63    -88.20000   +113.40000  -9.984e-01  -5.491e-02  
0     64    -88.20000   +115.20000  -9.984e-01  -5.448e-02  
0     65    -88.20000   +117.00000  -9.985e-01  -5.402e-02  
