Starname,Sp,B,V,G,Row,Col,Green,Cielo,Blue,Cielo,Red,Cielo,SNR
HD 67564 ,F5,"9,38","9,09","9,0181",3356,3389,8294,0,13559,2,8175,6,"11,3"
BD+20 2009,F5,"10,82","10,52","10,4423",3772,2630,4223,1,6623,2,3494,7,"11,6"
BD+20 2007,G0,"10,52","8,82","9,7906",4020,2589,5846,0,8166,2,6129,6,13
BD+20 2005,K0,"10,35","9,04","8,6293",4467,1273,9402,0,7866,2,11959,4,"13,9"
BD+21 1766,K7,"10,69","9,03","8,3523",4138,1119,10608,2,6726,4,14161,5,"13,9"
BD+21 1779,K0,"10,2","9,22","8,9471",1494,423,9033,1,9539,3,9724,5,"14,3"
BD+21 1777,K5,"11,11","10,18","9,6792",1609,144,5530,0,4911,3,7304,5,11
TYC 1385-899-1,-,"11,34","10,22","10,0131",752,2653,4235,0,4038,1,4051,3,"11,4"
TYC 1385-939-1,-,"12,78","10,66","10,3526",994,2769,2955,0,1768,1,4282,4,"10,1"
L21-J,-,-,-,0,1561,2713,1619,30,1519,5,1621,79,0
